Метка,Значение,Имя,Корпус,количество
"C1,С27-С28",10 nF,CAP_0603,CAP_0603,3
C2,1 nF,CAP_0603,CAP_0603,1
"C3,C6,C7,C10-C11,С13,C15-C16,C18,C20,C25-C26,С29-С31,С37-С38,С40-С41",100 nF,CAP_0603,CAP_0603,19
"C4,C9",1 uF,CAP_0603,CAP_0603,2
"C5,C12",26 pF,CAP_0603,CAP_0603,2
"C8,C17",100 nF,CAP_0603,CAP_0603,2
C14,10 uF,CL31B106KBHNNNE,CAP_1206,1
"C24,С32",4.7 uF,CL31B475KBHNNNE,CAP_1206,3
C19.C39,4.7 uF,CAP_0805,CAP_0805,2
C21,4.7 nF,CAP_0603,CAP_0603,1
C22,220 uF,EEEHA_sizeE,CAPAE-8.35x8.35h6.2,1
"C23,C33-С34",22 uF,CAP_SMD_C,TC_2413,3
C35-С36,1 nF,CAP_1206,CAP_1206,2
D1-D3,,805,805,3
ICSP1,,Atmel_ICSP,Atmel_ICSP_Normal,1
J1,,HDR-1x3,HDR-1x3,1
J2,,HDR-1x4,HDR-1x4,1
J3-J4,,292303-1,292303-1,2
L1-L2,,IND_0805,IND_0805,2
L3,3.3 uH,VLS6045EX-3R3N,VLS6045EX,1
"R1,R7-R8,R13,R15-R16",10 kOm,RES_0603,RES_0603,6
R2,365 kOm,RES_0603,RES_0603,1
R3-R4.R35-R36,DNP,RES_0603,RES_0603,4
R5,22 Om,RES_2512,RES_2512,1
R6,200 kOm,RES_0603,RES_0603,1
R9,820 Om,RES_0603,RES_0603,1
"R10-R12,R19,R22",4.7 kOm,RES_0603,RES_0603,5
R14,0 Om,RES_0603,RES_0603,1
"R17-R18,R23-R26,R32-R34",1 kOm,RES_0603,RES_0603,9
R20-R21,100 kOm,RES_0603,RES_0603,2
R27-R28,100 mOm,RES_2512,RES_2512,2
R29-R30,10 Mom,RES_1206,RES_1206,2
R31,470 Om,RES_0603,RES_0603,1
"U1,U6-U9",,BAV99,SOT23,5
U2,,STEF01,TSSOP-14EP,1
U3,,ATMEGA328_QFN32,QFN-32/5x5x0.5,1
U4,,KF33BD,SOIC-8/150mil,1
U5,,ST1S10,Power SO-8,1
U10-U11,,INA138,SOT23-5,2
U12,,TPS2042,SOIC-8/150mil,1
U13,,LMT89,SOT353,1
U14,,TPS2513,SOT23-6,1
X1-X4,,DG390-5.0-02,DG390-5.0-02,4
Y1,16.00 MHZ,ABM3B-16.000MHZ-10-1-U-T,0532C4,1
